,title,link
184,Resource Mobilization Analyst at Bioversity International,https://www.myjobmag.co.ke/job/resource-mobilization-analyst-bioversity-international
185,Regional P&C (HR) Business Partner at World Vision Kenya,https://www.myjobmag.co.ke/job/regional-p-c-hr-business-partner-world-vision-kenya
186,"Analyst, Client Delivery at Standard Chartered Bank Kenya",https://www.myjobmag.co.ke/job/analyst-client-delivery-standard-chartered-bank-kenya
187,Director of Business Services at Independent Policing Oversight Authority (IPOA),https://www.myjobmag.co.ke/job/independent-policing-oversight-authority-ipoa-1
188,HR Business Partner at Population Services International (PSI),https://www.myjobmag.co.ke/job/hr-business-partner-population-services-international-psi
189,Account Manager - Business Imaging at EPSON,https://www.myjobmag.co.ke/job/account-manager-business-imaging-1
190,Security Information Analyst at United Nations,https://www.myjobmag.co.ke/job/security-information-analyst-united-nations
191,Business Governance and Operations Lead at Safaricom Kenya,https://www.myjobmag.co.ke/job/business-governance-and-operations-lead-safaricom-kenya
192,Warehouse Reporting Analyst at M-Kopa Solar,https://www.myjobmag.co.ke/job/warehouse-reporting-analyst-m-kopa-solar
193,"Senior Research and Data Analyst, CIFOR Headquarters, Bogor, Indonesia, or ICRAF Headquarters at Center for International Forestry Research (CIFOR)",https://www.myjobmag.co.ke/job/senior-research-and-data-analyst-cifor-headquarters-bogor-indonesia-or-icraf-headquarters-center-for-international-forestry-research-cifor
194,"Finance Business Partner, Corporate and Treasury at KCB Bank Kenya",https://www.myjobmag.co.ke/job/finance-business-partner-corporate-and-treasury-kcb-bank-kenya-2
195,conomic Recovery Officer – Business Skills (Emergency Roster) at Danish Refugee Council,https://www.myjobmag.co.ke/job/conomic-recovery-officer-business-skills-emergency-roster-danish-refugee-council
196,Senior Grants and Contracts Analyst at TechnoServe Kenya,https://www.myjobmag.co.ke/job/senior-grants-and-contracts-analyst-technoserve-kenya
197,Business Development Officer - Banc assurance (Commercial Banking) at Absa Bank Limited,https://www.myjobmag.co.ke/job/business-development-officer-banc-assurance-commercial-banking-absa-bank-limited
198,EOI- Business Support Assistant ( TEC) at World Food Programme (WFP),https://www.myjobmag.co.ke/job/eoi-business-support-assistant-tec-world-food-programme-wfp
199,Ruby Developer at Tezza Business Solutions Ltd,https://www.myjobmag.co.ke/job/ruby-developer-tezza-business-solutions-ltd
200,Business Development Officer at Kenya Association of Manufacturers,https://www.myjobmag.co.ke/job/business-development-officer-kenya-association-of-manufacturers
201,Retail Business Operations Associate at Britam,https://www.myjobmag.co.ke/job/retail-business-operations-associate-britam
202,Client Relationship Manager (CRM) Analyst at Co-operative Bank of Kenya,https://www.myjobmag.co.ke/job/client-relationship-manager-crm-analyst-co-operative-bank-of-kenya
203,Systems Analyst – MTO Integrations at Co-operative Bank of Kenya,https://www.myjobmag.co.ke/job/systems-analyst-mto-integrations-co-operative-bank-of-kenya
204,Air pollution Laboratory Technician and Analyst at Kenya Medical Research - KEMRI,https://www.myjobmag.co.ke/job/air-pollution-laboratory-technician-and-analyst-kemya-medical-research-kemri
205,Human Resource Business Partner Associate at Penda Health,https://www.myjobmag.co.ke/job/human-resource-business-partner-associate-penda-health-1
206,"Manager, Business Operations at CrossBoundary",https://www.myjobmag.co.ke/job/manager-business-operations-crossboundary
207,"Analyst (Simulation Administration), Centre for Innovation in Medical Education at Aga Khan University (AKU)",https://www.myjobmag.co.ke/job/analyst-simulation-administration-centre-for-innovation-in-medical-education-aga-khan-university-aku
208,Senior Acturial Valuation Specialist - Life Business at Old Mutual Kenya,https://www.myjobmag.co.ke/job/senior-acturial-valuation-specialist-life-business-old-mutual-kenya
209,People & Culture Business Partner - East Africa Regional Office at World Vision Kenya,https://www.myjobmag.co.ke/job/people-culture-business-partner-east-africa-regional-office-world-vision-kenya
210,Manager Business Systems at Britam,https://www.myjobmag.co.ke/job/manager-business-systems-britam
211,Jobs at Wildlife Works,https://www.myjobmag.co.ke/job/gis-data-analyst
212,CISOC Analyst at KCB Bank Kenya,https://www.myjobmag.co.ke/job/cisoc-analyst-kcb-bank-kenya
213,Resource Mobilization & Business Development Intern at Save the Children,https://www.myjobmag.co.ke/job/resource-mobilization-business-development-intern-save-the-children
214,Business Development and Project Manager at NIRAS Kenya,https://www.myjobmag.co.ke/job/business-development-and-project-manager-niras-kenya
215,Accounts Analyst at Aza Finance,https://www.myjobmag.co.ke/job/accounts-analyst-aza-finance-1
216,Business Development Account Executive at Integrated Staffing and Training Limited,https://www.myjobmag.co.ke/job/business-development-account-executive-integrated-staffing-and-training-limited
217,Business Development Executive - Nyahururu at Equity Afia Medical Centre - KISERIAN,https://www.myjobmag.co.ke/job/business-development-executive-nyahururu-equity-afia-medical-centre-kiserian
218,Medical Case Management/Claims Analyst at PACIS Insurance,https://www.myjobmag.co.ke/job/medical-case-management-claims-analyst-pacis-insurance
219,HR Analyst at Cigna,https://www.myjobmag.co.ke/job/hr-analyst-cigna
220,"The Finance Business Partner, Corporate and Treasury at KCB Bank Kenya",https://www.myjobmag.co.ke/job/the-finance-business-partner-corporate-and-treasury-kcb-bank-kenya
221,CRM Analyst at NCBA Group,https://www.myjobmag.co.ke/job/crm-analyst-ncba-group
